english;turkish;level;part_of_speech;;;;
sea ;deniz;A1 ;noun;;;;
seal ;"mühür
týpa, kapak";C1 ;noun;;;;
seal ; (paket, zarf vb.) yapýþtýrmak, bantlamak;C1 ;verb;;;;
search ;arama;A2 ;noun;;;;
search ;aramak, bakmak;A2 ;verb;;;;
season ;"mevsim
sezon";A2 ;noun;;;;
seat ;oturacak yer, koltuk;A2 ;noun;;;;
seat ;oturtmak;B2 ;verb;;;;
second ;ikinci;A1 ;determiner;;;;
second ;saniye;A1 ;noun;;;;
second ;ikinci;A1 ;ord. number;;;;
second ;ikinci;A2 ;adverb;;;;
secondary ;ikincil;B1 ;adjective;;;;
secondly ;ikincisi, ayrýca;A2 ;adverb;;;;
secret ;gizli;A2 ;adjective;;;;
secret ;sýr;A2 ;noun;;;;
secretary ;"sekreter
bakan";A2 ;noun;;;;
section ;bölüm, kýsým;A1 ;noun;;;;
sector ;sektör;B2 ;noun;;;;
secular ;dinle ilgisiz, laik;C1 ;adjective;;;;
secure ;güvenli, emniyette;B2 ;adjective;;;;
secure ;saðlama almak, baðlamak;B2 ;verb;;;;
security ;güvenlik;B1 ;noun;;;;
see ;"görmek
anlamak, farkýna varmak";A1 ;verb;;;;
seed ;çekirdek, tohum;B1 ;noun;;;;
seek ;aramak, bulmaya çalýþmak;B2 ;verb;;;;
seeker ;arayan;B2 ;noun;;;;
seem ;gibi görünmek;A2 ;verb;;;;
seemingly ;görünürde;C1 ;adverb;;;;
segment ;dilim, bölüm;C1 ;noun;;;;
seize ;"yakalamak, tutmak, kapmak
ele geçirmek, el koymak";C1 ;verb;;;;
seldom ;seyrek olarak, nadiren;C1 ;adverb;;;;
select ;seçmek, ayýklamak;B2 ;verb;;;;
selection ;"seçme; seçilme";B2 ;noun;;;;
selective ;seçici, ayrýcalýklý;C1 ;adjective;;;;
self ;kendi, kendisi;B2 ;noun;;;;
sell ;satmak;A1 ;verb;;;;
seminar ;seminer, ders;B2 ;noun;;;;
senator ;senatör;C1 ;noun;;;;
send ;göndermek, yollamak;A1 ;verb;;;;
senior ;üst, kýdemli;B2 ;adjective;;;;
sensation ;"duygu, duyu
sansasyon";C1 ;noun;;;;
sense ;"duyu
duygu";A2 ;noun;;;;
sense ;sezinlemek;B2 ;verb;;;;
sensible ;aklý baþýnda, makul, mantýklý;B1 ;adjective;;;;
sensitive ;duyarlý, hassas;B2 ;adjective;;;;
sensitivity ;duyarlýlýk, hassaslýk;C1 ;noun;;;;
sentence ;" (gramer) cümle, tümce
hüküm, ceza";A1 ;noun;;;;
sentence ;mahkûm etmek, cezaya çarptýrmak;B2 ;verb;;;;
sentiment ;duygu, görüþ;C1 ;noun;;;;
separate ;ayrý, farklý;A2 ;adjective;;;;
separate ;"ayrý tutmak, ayýrmak
ayrýlmak";B1 ;verb;;;;
separation ;ayrýlýk, ayrýlma;C1 ;noun;;;;
September ;Eylül;A1 ;noun;;;;
sequence ;dizi, zincir;B2 ;noun;;;;
series ;dizi;A2 ;noun;;;;
serious ;"ciddi, vahim
önemli";A2 ;adjective;;;;
seriously ;ciddi bir þekilde;B1 ;adverb;;;;
servant ;hizmetçi, uþak;B1 ;noun;;;;
serve ;"servis yapmak
hizmet vermek, hizmet sunmak";A2 ;verb;;;;
service ;"… Hizmetleri, … Ýþleri; hizmet, servis";A2 ;noun;;;;
session ;"seans
oturum, celse";B2 ;noun;;;;
set ;set, takým, dizi;B1 ;noun;;;;
set ;"koymak, oturtmak
kurmak, ayarlamak";B1 ;verb;;;;
setting ;"çevre, yer
ayar";B1 ;noun;;;;
settle ;"anlaþmaya varmak; halletmek";B2 ;verb;;;;
settlement ;"anlaþma
yerleþme alaný";C1 ;noun;;;;
settler ;göçmen;B2 ;noun;;;;
set-up ;"düzen; sistem";C1 ;noun;;;;
seven ;yedi;A1 ;number;;;;
seventeen ;on yedi;A1 ;number;;;;
seventy ;yetmiþ;A1 ;number;;;;
several ;birkaç;A2 ;determiner;;;;
several ;birkaçý;A2 ;pronoun;;;;
severe ;ciddi, sert;B2 ;adjective;;;;
severely ;"þiddetli bir þekilde; sert bir þekilde";B2 ;adverb;;;;
sex ;"cinsiyet
cinsel iliþki, seks";B1 ;noun;;;;
sexual ;cinsel;B1 ;adjective;;;;
sexuality ;cinsellik;C1 ;noun;;;;
sexy ;seksi, çekici;B2 ;adjective;;;;
shade ;"gölgelik yer
ton";B2 ;noun;;;;
shadow ;gölge;B2 ;noun;;;;
shake ;"sallanmak, titremek, çalkalanmak; sallamak, çalkalamak";A2 ;verb;;;;
shake ;sallama, sarsýntý, çalkalama;B1 ;noun;;;;
shall ;-ecek;A2 ;modal verb;;;;
shallow ;sýð;B2 ;adjective;;;;
shame ;"utanç; utanma";B2 ;noun;;;;
shape ;"þekil, biçim
hal, durum ";A2 ;noun;;;;
shape ;biçimlendirmek, þekillendirmek;B2 ;verb;;;;
shaped ;þeklinde, biçiminde;B2 ;adjective;;;;
share ;paylaþmak, bölüþmek;A1 ;verb;;;;
share ;"pay, hisse
hisse senedi";B1 ;noun;;;;
shareholder ;hissedar;C1 ;noun;;;;
sharp ;keskin, sivri;B1 ;adjective;;;;
shatter ;"tuzla buz olmak, paramparça olmak; tuzla buz etmek, paramparça etmek
yýkmak ";C1 ;verb;;;;
she ; (diþil) o;A1 ;pronoun;;;;
shed ;" (bir þeyden) kurtulmak, atmak
dökmek ";C1 ;verb;;;;
sheep ;koyun;A1 ;noun;;;;
sheer ;sýrf, düpedüz, yalnýz;C1 ;adjective;;;;
sheet ;"çarþaf
kaðýt";A2 ;noun;;;;
shelf ;raf;B1 ;noun;;;;
shell ;kabuk;B1 ;noun;;;;
shelter ;"sýðýnma, barýnma
sýðýnak";B2 ;noun;;;;
shelter ;korumak, barýndýrmak;B2 ;verb;;;;
shift ;"deðiþiklik, deðiþim
vardiya";B1 ;noun;;;;
shift ;"yerini deðiþtirmek; yer deðiþtirmek";B2 ;verb;;;;
shine ;parlamak, ýþýk saçmak;B1 ;verb;;;;
shiny ;parlak;B1 ;adjective;;;;
ship ;"gemi, vapur
nakliye";A2 ;noun;;;;
ship ;gemi ile göndermek, gemi ile nakletmek;B2 ;verb;;;;
shipping ;gemiler, deniz trafiði;C1 ;noun;;;;
shirt ;gömlek;A1 ;noun;;;;
shock ;þok;B2 ;noun;;;;
shock ;þoke etmek, sarsmak, çok þaþýrtmak;B2 ;verb;;;;
shocked ;"þaþýrmýþ; dehþete düþmüþ";B2 ;adjective;;;;
shocking ;dehþet verici;B2 ;adjective;;;;
shoe ;ayakkabý;A1 ;noun;;;;
shoot ;"ateþ etmek; (ok vb.) atmak";B1 ;verb;;;;
shoot ;filiz, sürgün;C1 ;noun;;;;
shooting ; (silahla) öldürülme;B2 ;Noun;;;;
shop ;dükkân, maðaza;A1 ;noun;;;;
shop ;alýþveriþ yapmak;A1 ;verb;;;;
shopping ;alýþveriþ;A1 ;noun;;;;
shore ;sahil, kýyý;B2 ;noun;;;;
short ;kýsa;A1 ;adjective;;;;
shortage ;"kýtlýk; (öðretmen, personel vb.) açýk";B2 ;noun;;;;
shortly ;kýsa zamanda, az sonra;B2 ;adverb;;;;
short-term ;kýsa vadeli;B2 ;adjective;;;;
shot ;ateþ etme, atýþ;B2 ;noun;;;;
should ;-meli, yapýlmasý gerekir;A1 ;modal verb;;;;
shoulder ;omuz;A2 ;noun;;;;
shout ;baðýrýþ, haykýrýþ;A2 ;noun;;;;
shout ;seslenmek, baðýrmak;A2 ;verb;;;;
show ;þov, gösteri;A1 ;noun;;;;
show ;göstermek, ortaya koymak;A1 ;verb;;;;
shower ;"duþ
saðanak";A1 ;noun;;;;
shrink ;"çekmek, küçülmek; çektirmek, küçültmek";C1 ;verb;;;;
shrug ;omuz silkmek;C1 ;verb;;;;
shut ;kapalý;A2 ;adjective;;;;
shut ;"kapatmak
hapsetmek";A2 ;verb;;;;
shy ;utangaç, sýkýlgan, çekingen;B1 ;adjective;;;;
sibling ;kardeþ;B2 ;noun;;;;
sick ;hasta;A1 ;adjective;;;;
side ;"kenar
yan taraf ";A2 ;noun;;;;
sigh ;soluk alma;C1 ;noun;;;;
sigh ;iç çekmek;C1 ;verb;;;;
sight ;"görme yeteneði, görme
görüþ alaný ";B1 ;noun;;;;
sign ;"belirti, emare
tabela, levha, iþaret ";A2 ;noun;;;;
sign ;"imzalamak
kayýt olmak ";A2 ;verb;;;;
signal ;iþaret, sinyal;B1 ;noun;;;;
signal ;iþaret etmek, sinyal göndermek, göstermek;B1 ;verb;;;;
signature ;imza;B2 ;noun;;;;
significance ;önem, anlam;B2 ;noun;;;;
significant ;önemli, anlamlý, belirgin;B2 ;adjective;;;;
significantly ;"belirgin bir þekilde; anlamlý bir biçimde";B2 ;adverb;;;;
silence ;sessizlik;B2 ;noun;;;;
silent ;sessiz;B1 ;adjective;;;;
silk ;ipek;B2 ;noun;;;;
silly ;salak, saçma, zevzek;B1 ;adjective;;;;
silver ;gümüþ rengi;A2 ;adjective;;;;
silver ;gümüþ;A2 ;noun;;;;
similar ;benzer, birbirine yakýn;A1 ;adjective;;;;
similarity ;benzerlik;B1 ;noun;;;;
similarly ;ayný þekilde, bunun gibi;B1 ;adverb;;;;
simple ;"basit
sade";A2 ;adjective;;;;
simply ;"tek yapmanýz gereken
basitçe";B1 ;adverb;;;;
simulate ;aynýsýný yapmak, taklit etmek;C1 ;verb;;;;
simulation ;ayný-yapým, taklit, simülasyon;C1 ;noun;;;;
simultaneously ;ayný zamanda;C1 ;adverb;;;;
sin ;günah;C1 ;noun;;;;
since ;-den beri;A2 ;conjunction;;;;
since ;-den beri;A2 ;preposition;;;;
since ;o zamandan beri, o zamandan bu yana;B1 ;adverb;;;;
sincere ; (söz, duygu vb.) içten, gönülden;B2 ;adjective;;;;
sing ;"þarký söylemek, þakýmak; söylemek";A1 ;verb;;;;
singer ;þarkýcý;A1 ;noun;;;;
singing ;þarký söyleme;A2 ;noun;;;;
single ;"tek, tek bir
bekar";A2 ;adjective;;;;
single ;"gidiþ bileti
tek þarkýlýk (plak, cd vb.)";A2 ;noun;;;;
sink ;batmak, batýrmak;B1 ;verb;;;;
sir ;Efendim, Beyefendi;A2 ;noun;;;;
sister ;kýz kardeþ;A1 ;noun;;;;
sit ;oturmak;A1 ;verb;;;;
site ;alan, arazi, yer, mahal;A2 ;noun;;;;
situated ;konuþlandýrýlmýþ, kurulu, inþa edilmiþ;C1 ;adjective;;;;
situation ;durum;A1 ;noun;;;;
six ;altý;A1 ;number;;;;
sixteen ;onaltý;A1 ;number;;;;
sixty ;altmýþ;A1 ;number;;;;
size ;"büyüklük, boyut
beden, ölçü, ebat ";A2 ;noun;;;;
sketch ;"taslak, kroki, eskiz, kabataslak resim
skeç ";C1 ;noun;;;;
ski ;kayak …;A2 ;adjective;;;;
ski ;kayak;A2 ;noun;;;;
ski ;kayak yapmak;A2 ;verb;;;;
skiing ;kayak;A2 ;noun;;;;
skill ;beceri, ustalýk, hüner;A1 ;noun;;;;
skilled ;becerikli, vasýflý;B2 ;adjective;;;;
skin ;deri, cilt, ten;A2 ;noun;;;;
skip ;"zýplamak, sekmek, seke seke yürümek
atlamak, atlatmak ";C1 ;verb;;;;
skirt ;etek;A1 ;noun;;;;
skull ;kafatasý;B2 ;noun;;;;
sky ;gökyüzü;A2 ;noun;;;;
slam ;çarpmak;C1 ;verb;;;;
slap ;tokatlamak, tokat atmak;C1 ;verb;;;;
slash ;yarmak, kesmek;C1 ;verb;;;;
slave ;köle;B2 ;noun;;;;
slavery ;kölelik (sistemi);C1 ;noun;;;;
sleep ;uyumak;A1 ;verb;;;;
sleep ;uyku;A2 ;noun;;;;
slice ;dilim;B1 ;noun;;;;
slice ;dilimlemek, dilimlere ayýrmak;B1 ;verb;;;;
slide ;"düþüþ, iniþ
kaydýrak";B2 ;noun;;;;
slide ;"kaymak; kaydýrmak";B2 ;verb;;;;
slight ;ufak, küçük, hafif, basit, önemsiz;B2 ;adjective;;;;
slightly ;birazcýk, azýcýk;B1 ;adverb;;;;
slip ;ayaðý kaymak;B2 ;verb;;;;
slogan ;slogan;B2 ;noun;;;;
slope ;yokuþ, bayýr;B2 ;noun;;;;
slope ;eðim yapmak, eðimi olmak;B2 ;verb;;;;
slot ;delik;C1 ;noun;;;;
slow ;yavaþ, aðýr;A1 ;adjective;;;;
slow ;yavaþlatmak;B1 ;verb;;;;
slowly ;yavaþça, aðýr aðýr;A2 ;adverb;;;;
small ;küçük, ufak;A1 ;adjective;;;;
smart ;" (kiþi) þýk
zeki, akýllý ";B1 ;adjective;;;;
smartphone ;akýllý telefon;A2 ;noun;;;;
smash ;"parçalamak, parçalara ayýrmak; parçalanmak, parçalara ayrýlmak";C1 ;verb;;;;
smell ;koku;A2 ;noun;;;;
smell ;"kokmak
koklamak ";A2 ;verb;;;;
smile ;gülümseme, gülücük;A2 ;noun;;;;
smile ;gülümsemek;A2 ;verb;;;;
smoke ;duman;A2 ;noun;;;;
smoke ;sigara içmek;A2 ;verb;;;;
smoking ;sigara içme;A2 ;noun;;;;
smooth ;"düzgün, pürüzsüz
rahat, yumuþak ";B1 ;adjective;;;;
snake ;yýlan;A1 ;noun;;;;
snap ;"kýrýlmak, kopmak
parmaklarýný þýklatmak";C1 ;verb;;;;
snow ;kar;A1 ;noun;;;;
snow ;kar yaðmak;A1 ;verb;;;;
so ;öyle, öyle … ki, o kadar, bu kadar, çok;A1 ;adverb;;;;
so ;-sin diye;A1 ;conjunction;;;;
soak ;"ýslanmak; ýslatmak, suya basmak";C1 ;verb;;;;
soap ;sabun;A2 ;noun;;;;
soar ;"yükselmek; (fiyat vb.) fýrlamak";C1 ;verb;;;;
so-called ;"sözüm ona, sözde
namýdiðer";B2 ;adjective;;;;
soccer [football] ;futbol;A2 ;noun;;;;
social ;toplumsal, sosyal;A2 ;adjective;;;;
socialist ;sosyalist, toplumcu;C1 ;adjective;;;;
society ;"toplum
dernek, kulüp, cemiyet ";A2 ;noun;;;;
sock ;kýsa çorap, soket çorap;A2 ;noun;;;;
soft ;yumuþak;A2 ;adjective;;;;
software ;yazýlým;B1 ;noun;;;;
soil ;toprak;B1 ;noun;;;;
solar ;güneþle ilgili;B2 ;adjective;;;;
soldier ;asker;A2 ;noun;;;;
sole ;tek, yegâne;C1 ;adjective;;;;
solely ;yalnýzca, sýrf;C1 ;adverb;;;;
solicitor ;avukat;C1 ;noun;;;;
solid ;"katý
saðlam ";B1 ;adjective;;;;
solid ;katý cisim;B1 ;noun;;;;
solidarity ;dayanýþma;C1 ;noun;;;;
solo ;tek baþýna, yalnýz;C1 ;adjective;;;;
solo ;solo;C1 ;noun;;;;
solution ;çözüm, çözüm yolu;A2 ;noun;;;;
solve ;çözmek, halletmek;A2 ;verb;;;;
some ;biraz, bir miktar;A1 ;determiner;;;;
some ;biraz, bir miktar;A1 ;pronoun;;;;
somebody ;biri, birisi;A1 ;pronoun;;;;
somehow ;bir þekilde, bir yolunu bulup, her nasýlsa;B2 ;adverb;;;;
someone [somebody] ;biri, birisi;A1 ;pronoun;;;;
something ;bir þey;A1 ;pronoun;;;;
sometime ;bir ara;B2 ;adverb;;;;
sometimes ;bazen, ara sýra;A1 ;adverb;;;;
somewhat ;oldukça, az çok;B2 ;adverb;;;;
somewhere ;bir yer, bir yerde, bir yere;A2 ;adverb;;;;
son ;oðul;A1 ;noun;;;;
song ;þarký;A1 ;noun;;;;
soon ;hemen, çok geçmeden;A1 ;adverb;;;;
sophisticated ;kültürlü, görmüþ geçirmiþ;B2 ;adjective;;;;
sorry ;üzgün;A1 ;adjective;;;;
sorry ;affedersiniz!, özür dilerim;A1 ;exclamation;;;;
sort ;çeþit, tür;A2 ;noun;;;;
sort ;ayýrmak, düzenlemek, tasnif etmek;B1 ;verb;;;;
soul ; (din) ruh;B2 ;noun;;;;
sound ;ses;A1 ;noun;;;;
sound ;gibi gelmek, -e benzemek;A1 ;verb;;;;
sound ;güvenilir, saðlam;C1 ;adjective;;;;
soup ;çorba;A1 ;noun;;;;
source ;kaynak;A2 ;noun;;;;
south ;güney;A1 ;adjective;;;;
south ;güneye, güneyi;A1 ;adverb;;;;
south ;güney;A1 ;noun;;;;
southern ;"güney; güneye ait";B1 ;adjective;;;;
sovereignty ;baðýmsýzlýk, egemenlik;C1 ;noun;;;;
space ;"yer, alan, boþluk
uzay ";A1 ;noun;;;;
spam ;e-posta ile reklam yapma;C1 ;noun;;;;
span ;"süre, müddet
geniþlik, açýklýk ";C1 ;noun;;;;
span ;" (yol, göl, nehir vb.) üstünden köprü geçmek
sürmek ";C1 ;verb;;;;
spare ;yedek;B2 ;adjective;;;;
spare ;"ayýrmak, vermek
saklamak, kurtarmak";C1 ;verb;;;;
spark ;ateþlemek, baþlatmak;C1 ;verb;;;;
speak ;konuþmak;A1 ;verb;;;;
speaker ;"konuþmacý
hoparlör ";A2 ;noun;;;;
special ;özel;A1 ;adjective;;;;
specialist ;uzman;B2 ;noun;;;;
specialize ;uzmanlaþmak, uzmanlýk alaný olmak;B2 ;verb;;;;
specialized ;özel bir amaç için geliþtirilmiþ;C1 ;adjective;;;;
species ;tür, cins;B2 ;noun;;;;
specific ;kesin, açýk, ayrýntýlý;A2 ;adjective;;;;
specifically ;"özel olarak; özellikle";B1 ;adverb;;;;
specification ;þartname, tarifname;C1 ;noun;;;;
specify ;açýkça belirtmek, kesin olarak belirtmek;B2 ;verb;;;;
specimen ;örnek;C1 ;noun;;;;
spectacle ;gösteri, manzara;C1 ;noun;;;;
spectacular ;harikulade, göz alýcý, muhteþem;B2 ;adjective;;;;
spectator ;seyirci, izleyici;B2 ;noun;;;;
spectrum ;tayf;C1 ;noun;;;;
speculate ;"tahminde bulunmak, tahmin yürütmek
spekülasyon yapmak ";B2 ;verb;;;;
speculation ;spekülasyon, tahmin yürütme;B2 ;noun;;;;
speech ;söylev, konuþma;A2 ;noun;;;;
speed ;hýz, sürat;A2 ;noun;;;;
speed ;hýzla geçmek, çabucak geçmek;B2 ;verb;;;;
spell ;hecelemek, harf harf söylemek;A1 ;verb;;;;
spell ;"dönem, süre, dalga
büyü, sihir ";C1 ;noun;;;;
spelling ;imla;A1 ;noun;;;;
spend ;"para harcamak
(zaman) geçirmek ";A1 ;verb;;;;
spending ;ödenek;B1 ;noun;;;;
sphere ;küre;C1 ;noun;;;;
spice ;baharat;B2 ;noun;;;;
spicy ;baharatlý, çeþnili;B1 ;adjective;;;;
spider ;örümcek;A2 ;noun;;;;
spill ;" (kazara) dökmek; dökülmek";B2 ;verb;;;;
spin ;"dönme; döndürme";C1 ;noun;;;;
spin ;"dönmek; döndürmek";C1 ;verb;;;;
spine ;omurga, bel kemiði;C1 ;noun;;;;
spirit ;ruh;B1 ;noun;;;;
spiritual ;manevi, tinsel;B2 ;adjective;;;;
spite ;kin, garez;B2 ;noun;;;;
split ;ayrýlýk, bölünme, hizip, klik;B2 ;noun;;;;
split ;"ayrýlmak; ayýrmak
bölmek, paylaþmak";B2 ;verb;;;;
spoil ;"bozmak, mahvetmek, berbat etmek
þýmartmak ";B2 ;verb;;;;
spoken ;konuþma;B1 ;adjective;;;;
spokesman ;sözcü;B2 ;noun;;;;
spokesperson ;sözcü;B2 ;noun;;;;
spokeswoman ;sözcü;B2 ;noun;;;;
sponsor ; (spor) sponsor;B2 ;noun;;;;
sponsor ;sponsorluk yapmak, finanse etmek;B2 ;verb;;;;
sponsorship ;sponsorluk, himaye;B2 ;noun;;;;
spoon ;kaþýk;A2 ;noun;;;;
sport ;spor;A1 ;noun;;;;
sporting ;sporla ilgili;B2 ;adjective;;;;
spot ;"benek, puan
yer ";B1 ;noun;;;;
spot ;görmek, farketmek, seçmek;B2 ;verb;;;;
spotlight ;projektör, spot, sahne ýþýðý;C1 ;noun;;;;
spouse ;eþ, karý veya koca;C1 ;noun;;;;
spread ;yaymak, sermek;B1 ;verb;;;;
spread ;yayma, yayýlma;B2 ;noun;;;;
spring ;bahar, ilkbahar;A1 ;noun;;;;
spring ;sýçramak, zýplamak;B2 ;verb;;;;
spy ;casus;C1 ;noun;;;;
spy ;casusluk etmek;C1 ;verb;;;;
squad ;ekip, takým;C1 ;noun;;;;
square ;"kare
metrekare";A2 ;adjective;;;;
square ;kare;A2 ;noun;;;;
squeeze ;"sýkmak; (el vb.) ovuþturmak
sýkýþmak, sýkýþtýrmak ";C1 ;verb;;;;
stab ;býçak vb. saplamak;C1 ;verb;;;;
stability ;istikrar, denge, saðlamlýk;C1 ;noun;;;;
stabilize ;"istikrara kavuþmak, istikrara kavuþturmak; oturmak, oturtmak";C1 ;verb;;;;
stable ;"saðlam; dengeli, kalýcý, istikrarlý";B2 ;adjective;;;;
stadium ;stadyum;B1 ;noun;;;;
staff ;personel, eleman, kadro;B1 ;noun;;;;
stage ;"aþama, evre
sahne ";A2 ;noun;;;;
stage ;sahnelemek;B2 ;verb;;;;
stair ;"merdiven
basamak ";A2 ;noun;;;;
stake ;kazýk;C1 ;noun;;;;
stall ;tezgâh;B2 ;noun;;;;
stamp ;posta pulu;A2 ;noun;;;;
stance ;tutum;B2 ;noun;;;;
stand ;ayakta durmak;A1 ;verb;;;;
stand ;"tavýr, çaba
tezgah, stand, sergi ";B2 ;noun;;;;
standard ;standart, normal;B1 ;adjective;;;;
standard ;standart;B1 ;noun;;;;
standing ;geçerli, süresiz, kalýcý;C1 ;adjective;;;;
star ;yýldýz;A1 ;noun;;;;
star ;baþrolde oynamak;A2 ;verb;;;;
stare ;gözlerini dikmek, bakakalmak;B2 ;verb;;;;
stark ;çýplak, yalýn, sade;C1 ;adjective;;;;
start ;baþlamak;A1 ;verb;;;;
start ;"baþlangýç
çýkýþ, start noktasý ";A2 ;noun;;;;
starve ;"açlýktan ölmek; açlýktan öldürmek";B2 ;verb;;;;
state ;"durum, hal
eyalet ";A2 ;noun;;;;
state ;devlet, devlet kontrolünde;B1 ;adjective;;;;
state ;belirtmek, ifade etmek;B1 ;verb;;;;
statement ;demeç, ifade;A1 ;noun;;;;
station ;"tren istasyonu
istasyon";A1 ;noun;;;;
statistic ;istatistik;B1 ;noun;;;;
statistical ;istatistiksel;C1 ;adjective;;;;
statue ;heykel;B1 ;noun;;;;
status ;"medeni hal, durum
statü, mevki ";B2 ;noun;;;;
stay ;kalmak;A1 ;verb;;;;
stay ;kalýþ, ziyaret;A2 ;noun;;;;
steadily ;"düzenli bir þekilde; sabit bir þekilde";B2 ;adverb;;;;
steady ;düzenli, istikrarlý;B2 ;adjective;;;;
steal ;çalmak;A2 ;verb;;;;
steam ;buhar;B2 ;noun;;;;
steel ;çelik;B2 ;noun;;;;
steep ;engebeli, sarp, dik;B2 ;adjective;;;;
steer ;direksiyonda olmak, dümende olmak, sürmek;C1 ;verb;;;;
stem ; (bitki) sap;C1 ;noun;;;;
stem ;önünü almak, durdurmak;C1 ;verb;;;;
step ;"adým
basamak ";A2 ;noun;;;;
step ;"adým atmak; basmak";B2 ;verb;;;;
stereotype ;basmakalýp örnek, beylik tip, kliþe;C1 ;noun;;;;
stick ;sopa, deðnek;B1 ;noun;;;;
stick ;"batmak; batýrmak";B1 ;verb;;;;
sticky ;yapýþkan, yapýþ yapýþ;B2 ;adjective;;;;
stiff ;"sert, katý, sýký; tutuk, tutukluk yapan";B2 ;adjective;;;;
still ;hâlâ;A1 ;adverb;;;;
still ;hareketsiz, kýpýrdamadan;B1 ;adjective;;;;
stimulate ;uyarmak, harekete geçirmek, canlandýrmak;B2 ;verb;;;;
stimulus ;uyarým, esin kaynaðý, teþvik;C1 ;noun;;;;
stir ;"karýþtýrmak
kýmýldamak, kýmýldatmak ";C1 ;verb;;;;
stock ;"stok; mevcut";B2 ;noun;;;;
stomach ;"mide
karýn ";A2 ;noun;;;;
stone ;taþ;A2 ;noun;;;;
stop ;"durak; durma";A1 ;noun;;;;
stop ;"durmak; durdurmak";A1 ;verb;;;;
storage ;"depolama; depo";C1 ;noun;;;;
store ;"maðaza
depo, stok ";A2 ;noun;;;;
store ;depolamak, saklamak;B1 ;verb;;;;
storm ;fýrtýna;A2 ;noun;;;;
story ;"masal; hikâye, öykü";A1 ;noun;;;;
straight ;düz;A2 ;adjective;;;;
straight ;dosdoðru, dümdüz, düz;A2 ;adverb;;;;
straightforward ;basit, açýk;C1 ;adjective;;;;
strain ;gerginlik, yük, üzüntü;C1 ;noun;;;;
strand ;lif, iplik, tel;C1 ;noun;;;;
strange ;garip, acayip, tuhaf;A2 ;adjective;;;;
stranger ;yabancý;B1 ;noun;;;;
strategic ;stratejik, önemli;C1 ;adjective;;;;
strategy ;strateji, plan;A2 ;noun;;;;
stream ;"dere, çay
akýþ ";B2 ;noun;;;;
street ;sokak, cadde;A1 ;noun;;;;
strength ;"güç, kuvvet
dayanýklýlýk, saðlamlýk ";B1 ;noun;;;;
strengthen ;"güçlenmek; güçlendirmek";B2 ;verb;;;;
stress ;stres, gerilim;A2 ;noun;;;;
stress ;vurgulamak;A2 ;verb;;;;
stretch ;bölge;B2 ;noun;;;;
stretch ;"uzamak, gerilmek; uzatmak, germek";B2 ;verb;;;;
strict ;"sert; disiplinli, katý, sýký";B2 ;adjective;;;;
strictly ;kesinlikle;B2 ;adverb;;;;
strike ;"grev
saldýrý ";B2 ;noun;;;;
strike ;çarpmak, vurmak, çakmak;B2 ;verb;;;;
striking ;çarpýcý;C1 ;adjective;;;;
string ;ip, sicim;B1 ;noun;;;;
strip ;þerit;C1 ;noun;;;;
strip ;"soymak; soyunmak
kazýmak ";C1 ;verb;;;;
strive ;çabalamak, gayret etmek;C1 ;verb;;;;
stroke ;vuruþ, kulaç, kürek çekme;B2 ;noun;;;;
strong ;"güçlü
þiddetli ";A1 ;adjective;;;;
strongly ;"güçlü bir þekilde; tamamýyla";B1 ;adverb;;;;
structural ;yapýsal;C1 ;adjective;;;;
structure ;yapý;A2 ;noun;;;;
structure ;düzenlemek, planlamak;B2 ;verb;;;;
struggle ;mücadele;B2 ;noun;;;;
struggle ;"boðuþmak, mücadele etmek, çabalamak
çýrpýnmak, debelenmek ";B2 ;verb;;;;
student ;öðrenci;A1 ;noun;;;;
studio ;stüdyo;B1 ;noun;;;;
study ;çalýþma;A1 ;noun;;;;
study ;çalýþmak, okumak;A1 ;verb;;;;
stuff ;þey;B1 ;noun;;;;
stuff ;doldurmak;B2 ;verb;;;;
stumble ;tökezlemek;C1 ;verb;;;;
stun ;sersemletmek;C1 ;verb;;;;
stunning ;þahane, müthiþ;B2 ;adjective;;;;
stupid ;aptal, budala;A2 ;adjective;;;;
style ;"stil, üslup, tarz
moda, model, tarz ";A1 ;noun;;;;
subject ;"konu
ders ";A1 ;noun;;;;
subject ;maruz, eðilimli;B2 ;adjective;;;;
submission ;boyun eðme, teslim olma;C1 ;noun;;;;
submit ;teslim etmek, sunmak;B2 ;verb;;;;
subscriber ;abone;C1 ;noun;;;;
subscription ;aidat, abonelik ücreti;C1 ;noun;;;;
subsequent ;sonraki, izleyen, -i takip eden;B2 ;adjective;;;;
subsequently ;daha sonra;B2 ;adverb;;;;
subsidy ;ödenek, sübvansiyon;C1 ;noun;;;;
substance ;madde;B1 ;noun;;;;
substantial ;esaslý, hatýrý sayýlýr;C1 ;adjective;;;;
substantially ;önemli ölçüde, hatýrý sayýlýr miktarda;C1 ;adverb;;;;
substitute ;vekil, yedek;C1 ;noun;;;;
substitute ;yerine koymak, yerine kullanmak;C1 ;verb;;;;
substitution ;yerine geçme, yerini alma;C1 ;noun;;;;
subtle ;ince, göze çarpmayan;C1 ;adjective;;;;
suburb ;banliyö;B2 ;noun;;;;
suburban ;banliyöye özgü, tek düze;C1 ;adjective;;;;
succeed ;baþarmak, baþarýlý olmak;A2 ;verb;;;;
success ;baþarý;A1 ;noun;;;;
successful ;baþarýlý;A2 ;adjective;;;;
